Source,Destination,Length,SequenceID,MessageType,Label
1,2,60,22351,0,0
0,2,58,19403,1,0
1,2,68,19403,9,0
0,2,58,19404,1,0
1,2,68,19404,9,0
0,2,58,19405,1,0
1,2,68,19405,9,0
1,2,60,22352,0,0
1,2,78,43958,11,0
1,2,60,22353,0,0
0,2,58,19406,1,0
1,2,68,19406,9,0
1,2,60,22354,0,0
0,2,58,19407,1,0
1,2,68,19407,9,0
0,2,58,19408,1,0
1,2,68,19408,9,0
1,2,78,43959,11,0
1,2,60,22355,0,0
0,2,58,19409,1,0
1,2,68,19409,9,0
1,2,60,22356,0,0
0,2,58,19410,1,0
1,2,68,19410,9,0
1,2,78,43960,11,0
1,2,60,22357,0,0
0,2,58,19411,1,0
1,2,68,19411,9,0
1,2,60,22358,0,0
1,2,78,43961,11,0
1,2,60,22359,0,0
0,2,58,19412,1,0
1,2,68,19412,9,0
1,2,60,22360,0,0
1,2,78,43962,11,0
1,2,60,22361,0,0
0,2,58,19413,1,0
1,2,68,19413,9,0
1,2,60,22362,0,0
0,2,58,19414,1,0
1,2,68,19414,9,0
0,2,58,19415,1,0
1,2,68,19415,9,0
1,2,78,43963,11,0
1,2,60,22363,0,0
